                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.63668,                  2.601,                0.20127,                0.50993,                 1.0289,                0.95004,                      1,                0.99109,                0.86344,                0.91451,                0.95455,                0.94433,                0.55988,                0.51492,                 1.9881,                0.06866,                0.40237,                0.89192,              0.0013664,              0.0013664,              0.0013664
                     50,                0.66421,                 2.5192,                  0.214,                0.57151,                 1.0397,                0.94859,                0.95455,                0.97469,                0.88377,                0.94859,                0.95455,                0.97469,                0.53165,                0.49474,                 2.1191,                0.06102,                0.39921,                0.89865,              0.0013532,              0.0013532,              0.0013532
                     51,                0.62943,                 2.4438,                0.24202,                0.48352,                 1.0365,                0.94715,                0.95455,                0.95692,                0.87523,                0.99225,                      1,                  0.995,                0.64449,                0.49343,                 1.7329,                0.06217,                0.39334,                0.89873,                0.00134,                0.00134,                0.00134
                     52,                0.63926,                 2.5104,                 0.2199,                0.50184,                 1.0763,                0.95158,                0.95455,                0.94455,                0.84821,                0.95158,                0.95455,                0.94455,                0.51921,                0.54847,                 2.1593,                0.07087,                0.32961,                0.93269,              0.0013268,              0.0013268,              0.0013268
                     53,                0.75018,                 3.0043,                0.22118,                0.59424,                 1.0819,                0.95147,                0.95455,                0.94725,                0.84716,                0.95147,                0.95455,                0.93907,                0.56072,                0.52847,                 2.0486,                0.07303,                0.32002,                0.92199,              0.0013136,              0.0013136,              0.0013136
                     54,                0.76987,                 3.4908,                 0.2209,                0.58769,                 1.1239,                0.95117,                0.95455,                0.95093,                0.87474,                0.99646,                      1,                  0.995,                 0.5954,                0.52625,                 1.9373,                 0.0647,                0.35405,                0.90529,              0.0013004,              0.0013004,              0.0013004
                     55,                0.69318,                 2.9184,                0.20879,                0.57421,                 1.0717,                0.95204,                0.95455,                0.95705,                0.88294,                0.99688,                      1,                  0.995,                0.62466,                0.53794,                 1.8657,                0.06254,                0.34591,                0.90806,              0.0012872,              0.0012872,              0.0012872
                     56,                 0.6091,                 2.4892,                0.21618,                0.50839,                 1.0266,                0.99541,                      1,                  0.995,                 0.8881,                0.99541,                      1,                  0.995,                0.67453,                0.48472,                 1.7866,                0.05205,                0.36843,                0.88292,               0.001274,               0.001274,               0.001274
                     57,                0.66643,                 2.6952,                0.23521,                0.55125,                 1.0792,                0.99644,                      1,                  0.995,                0.87473,                0.95115,                0.95455,                0.95147,                0.58864,                0.51926,                 2.0362,                0.05519,                0.36778,                0.91134,              0.0012608,              0.0012608,              0.0012608
                     58,                0.63682,                  2.563,                0.20832,                0.52247,                 1.0442,                 0.9973,                      1,                  0.995,                0.89666,                 0.9973,                      1,                  0.995,                0.61515,                 0.5099,                 1.9166,                0.06371,                0.37574,                0.91204,              0.0012476,              0.0012476,              0.0012476
                     59,                 0.5918,                 2.2087,                0.16886,                0.48347,                0.98534,                 0.9965,                      1,                  0.995,                0.88982,                 0.9965,                      1,                  0.995,                0.58544,                0.52284,                 1.9342,                0.06197,                 0.3927,                0.93129,              0.0012344,              0.0012344,              0.0012344
                     60,                0.66738,                 2.6465,                0.19877,                0.52831,                 1.0494,                0.98577,                      1,                  0.995,                0.87097,                0.98577,                      1,                  0.995,                0.67944,                 0.5462,                 1.7651,                0.06212,                0.38012,                0.95186,              0.0012212,              0.0012212,              0.0012212
                     61,                0.73723,                  2.779,                 0.1933,                 0.5767,                 1.0868,                0.98324,                      1,                  0.995,                0.87863,                0.98324,                      1,                  0.995,                0.67078,                0.51587,                 1.7624,                0.06688,                0.39902,                0.92836,               0.001208,               0.001208,               0.001208
                     62,                0.66719,                 2.5913,                0.20636,                0.53643,                 1.0552,                0.99555,                      1,                  0.995,                0.89315,                0.99555,                      1,                  0.995,                0.63636,                0.48435,                 1.7006,                 0.0786,                0.37949,                 0.8941,              0.0011948,              0.0011948,              0.0011948
                     63,                0.63026,                 2.5072,                0.21128,                0.51468,                 1.0346,                   0.95,                0.95455,                0.95279,                0.87255,                0.99537,                      1,                  0.995,                0.62165,                0.48865,                  1.768,                0.08105,                0.37447,                 0.9065,              0.0011816,              0.0011816,              0.0011816
                     64,                0.69601,                 2.5669,                0.19245,                0.54374,                 1.0622,                0.95577,                      1,                0.98935,                0.86116,                0.95577,                      1,                0.98935,                0.55891,                0.51361,                 1.8942,                0.07825,                0.37021,                0.95374,              0.0011684,              0.0011684,              0.0011684
                     65,                0.63848,                 2.5209,                0.22159,                0.47841,                 1.0618,                0.99942,                      1,                  0.995,                0.82781,                0.95348,                0.95455,                0.94629,                0.49269,                0.56066,                 2.0686,                0.08043,                0.40273,                0.97292,              0.0011552,              0.0011552,              0.0011552
                     66,                0.64325,                  2.635,                0.20151,                0.50573,                 1.0222,                0.95161,                0.95455,                0.94463,                0.82274,                0.99724,                      1,                  0.995,                  0.588,                0.60117,                 1.8313,                0.09364,                0.41431,                0.97309,               0.001142,               0.001142,               0.001142
                     67,                0.58873,                 2.4374,                0.21116,                0.45563,                 1.0217,                0.95219,                0.95455,                0.94507,                0.84445,                0.95219,                0.95455,                0.94507,                 0.5628,                0.57751,                 1.8731,                0.09739,                0.39582,                0.95214,              0.0011288,              0.0011288,              0.0011288
                     68,                0.67196,                 2.7137,                0.20974,                 0.5174,                 1.0435,                0.99755,                      1,                  0.995,                0.88148,                0.99755,                      1,                  0.995,                0.67444,                0.48076,                 1.5762,                0.08604,                0.34119,                0.90023,              0.0011156,              0.0011156,              0.0011156
                     69,                0.58047,                 2.3772,                0.19212,                0.47486,                 1.0007,                 0.9964,                      1,                  0.995,                0.88077,                 0.9964,                      1,                  0.995,                 0.6809,                0.47649,                 1.6164,                0.08752,                0.33018,                0.89372,              0.0011024,              0.0011024,              0.0011024
                     70,                 0.6667,                 2.3067,                0.19344,                0.52088,                 1.0613,                0.98532,                      1,                  0.995,                0.89631,                0.98532,                      1,                  0.995,                0.67603,                0.46467,                 1.7227,                0.08856,                0.32912,                0.88355,              0.0010892,              0.0010892,              0.0010892
                     71,                0.59267,                 2.6902,                0.20987,                0.51356,                 1.0143,                0.99036,                      1,                  0.995,                0.88684,                0.99036,                      1,                  0.995,                0.65063,                0.47201,                   1.68,                0.08095,                0.32914,                0.89881,               0.001076,               0.001076,               0.001076
                     72,                0.61462,                 2.4787,                0.19565,                 0.4521,                 1.0433,                0.94793,                0.95455,                0.94522,                0.88424,                0.99322,                      1,                  0.995,                0.67712,                0.48062,                 1.6404,                 0.0911,                0.33408,                0.92241,              0.0010628,              0.0010628,              0.0010628
                     73,                 0.6398,                 2.5778,                0.21079,                0.46763,                 1.0678,                0.94549,                0.95455,                0.94312,                0.87324,                0.99051,                      1,                  0.995,                0.69138,                0.49735,                 1.6817,                0.09199,                0.34311,                0.93333,              0.0010496,              0.0010496,              0.0010496
                     74,                0.57442,                  2.383,                0.18219,                0.46465,                  1.016,                0.94809,                0.95455,                0.93906,                0.87175,                0.99339,                      1,                  0.995,                0.70365,                0.51337,                 1.6462,                0.08124,                0.33253,                0.93433,              0.0010364,              0.0010364,              0.0010364
                     75,                0.57644,                 2.4283,                0.22068,                0.44756,                 1.0218,                0.94751,                0.95455,                0.94804,                0.85849,                0.99279,                      1,                  0.995,                0.68441,                0.53578,                 1.7131,                0.08503,                0.34989,                0.93773,              0.0010232,              0.0010232,              0.0010232
                     76,                0.66719,                 2.4385,                0.22571,                0.52637,                 1.0871,                0.95268,                0.95455,                0.96031,                0.88047,                0.99719,                      1,                  0.995,                0.73438,                0.51573,                 1.5356,                0.09547,                 0.3608,                0.92173,                0.00101,                0.00101,                0.00101
                     77,                0.59738,                 2.3162,                0.19847,                0.44981,                 1.0182,                0.95247,                0.95455,                0.95902,                0.89753,                0.99677,                      1,                  0.995,                0.68586,                0.52122,                 1.6254,                0.07716,                0.36344,                0.92069,              0.0009968,              0.0009968,              0.0009968
                     78,                0.62082,                 2.2449,                0.20152,                0.47011,                 1.0125,                0.95094,                0.95455,                0.95658,                0.88528,                0.99622,                      1,                  0.995,                0.67983,                0.53318,                 1.6785,                0.06831,                0.37444,                0.91739,              0.0009836,              0.0009836,              0.0009836
                     79,                0.66613,                 2.4992,                0.20839,                0.54466,                 1.0158,                0.95095,                0.95455,                0.95259,                0.88188,                0.99623,                      1,                  0.995,                0.72756,                0.51816,                 1.4744,                0.06703,                0.36759,                0.91417,              0.0009704,              0.0009704,              0.0009704
                     80,                0.59508,                 2.2465,                0.22088,                0.47674,                 1.0103,                0.95018,                0.95455,                0.95255,                0.89222,                0.99543,                      1,                  0.995,                0.70142,                0.50664,                 1.5335,                0.06417,                0.37904,                0.91315,              0.0009572,              0.0009572,              0.0009572
                     81,                0.58537,                 2.2247,                0.17853,                0.45252,                 1.0074,                0.94986,                0.95455,                0.95126,                0.89423,                0.99509,                      1,                  0.995,                0.70907,                0.49571,                 1.5405,                0.06554,                0.37165,                0.91532,               0.000944,               0.000944,               0.000944
                     82,                0.59408,                 2.0222,                0.18877,                 0.4711,                 1.0062,                0.95162,                0.95455,                0.95096,                0.90667,                0.99694,                      1,                  0.995,                0.72354,                0.49919,                 1.4858,                0.07849,                0.31163,                0.93105,              0.0009308,              0.0009308,              0.0009308
