                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.63807,                 3.0086,                0.25471,                0.50683,                 1.0244,                0.86756,                0.95349,                0.96767,                0.86395,                0.90006,                0.73309,                0.80325,                0.26876,                0.51739,                 3.6588,                 0.3879,                0.44494,                0.92367,              0.0012476,              0.0012476,              0.0012476
                     59,                0.62147,                 3.0633,                0.25206,                0.50215,                 1.0118,                0.90119,                0.95449,                0.96673,                0.86531,                0.85744,                0.74419,                0.77365,                0.27125,                0.51695,                 3.7064,                0.29455,                0.43402,                 0.9035,              0.0012344,              0.0012344,              0.0012344
                     60,                0.59873,                 3.0081,                0.25272,                0.48769,                0.99119,                0.91767,                0.90724,                0.96875,                0.87364,                0.75651,                0.74419,                0.76693,                0.28675,                0.54934,                 3.8005,                0.22685,                0.47273,                0.93886,              0.0012212,              0.0012212,              0.0012212
                     61,                0.61554,                  3.021,                0.24752,                0.48232,                0.98909,                0.87096,                0.93023,                0.95295,                0.85919,                0.74436,                 0.7907,                 0.7667,                0.27077,                0.51677,                 3.7388,                0.28571,                0.46398,                0.91618,               0.001208,               0.001208,               0.001208
                     62,                0.59389,                 2.7035,                0.24532,                0.47008,                 1.0034,                0.89678,                0.95349,                0.96992,                0.85685,                0.76629,                0.81395,                0.78048,                0.24879,                0.52523,                 3.6814,                0.36373,                0.43715,                0.88995,              0.0011948,              0.0011948,              0.0011948
                     63,                0.56506,                 2.9082,                 0.2429,                0.45729,                0.97541,                0.91044,                0.96512,                0.96994,                0.86523,                0.81033,                0.86047,                0.81642,                0.28283,                0.52304,                  3.604,                0.33939,                0.46532,                0.89909,              0.0011816,              0.0011816,              0.0011816
                     64,                0.56132,                 2.7686,                0.23993,                0.45387,                 0.9752,                0.87904,                0.94186,                0.95882,                0.84749,                0.76126,                0.80233,                0.77069,                0.27371,                0.56128,                 3.6643,                 0.3473,                0.50407,                0.92777,              0.0011684,              0.0011684,              0.0011684
                     65,                0.58573,                 2.8275,                 0.2504,                0.47796,                0.99517,                0.90892,                0.94186,                0.95996,                0.84171,                0.87063,                0.78254,                0.83667,                0.27685,                0.57139,                 3.6403,                0.31549,                 0.4688,                0.96427,              0.0011552,              0.0011552,              0.0011552
                     66,                0.56746,                 2.7792,                 0.2518,                0.44463,                0.98468,                0.91505,                 0.8768,                0.96148,                0.86085,                0.87003,                0.76744,                 0.8341,                0.29926,                0.50519,                 3.6148,                0.28458,                0.44522,                0.90026,               0.001142,               0.001142,               0.001142
                     67,                 0.5709,                 2.8418,                0.24821,                0.44804,                 0.9947,                0.88002,                 0.9186,                0.95465,                0.86153,                0.87043,                0.80233,                0.83246,                0.27933,                 0.4877,                 3.5942,                0.29957,                0.44533,                0.87202,              0.0011288,              0.0011288,              0.0011288
                     68,                0.57498,                 2.8361,                0.23838,                0.44778,                0.98807,                 0.8648,                0.93023,                0.95523,                0.85052,                0.78932,                0.78417,                 0.7945,                0.26541,                0.52865,                 3.6107,                0.39157,                0.46962,                0.91692,              0.0011156,              0.0011156,              0.0011156
                     69,                0.58217,                 2.9305,                0.25172,                0.44397,                0.97917,                0.88105,                0.94739,                0.96066,                0.85924,                0.81362,                0.82558,                0.83241,                0.27798,                0.53843,                 3.6056,                0.25026,                0.46374,                0.92162,              0.0011024,              0.0011024,              0.0011024
                     70,                0.55293,                 2.6862,                0.23157,                0.43154,                0.98003,                0.93112,                0.94314,                0.97053,                0.87316,                0.88532,                0.89771,                0.90175,                0.29111,                0.50216,                 3.5677,                 0.3217,                0.40749,                0.90283,              0.0010892,              0.0010892,              0.0010892
                     71,                 0.5435,                 2.8131,                 0.2326,                0.44085,                0.97856,                0.92731,                0.94186,                0.96925,                 0.8724,                0.87342,                0.88372,                0.89913,                0.28129,                 0.5061,                 3.5655,                0.29859,                0.42869,                0.90673,               0.001076,               0.001076,               0.001076
                     72,                0.56077,                 2.8286,                0.23701,                0.43553,                0.98217,                0.94001,                0.91106,                0.96892,                 0.8795,                0.86782,                 0.8398,                0.86319,                 0.2899,                0.48385,                 3.5756,                0.30086,                0.41691,                0.90374,              0.0010628,              0.0010628,              0.0010628
                     73,                0.55756,                 2.9131,                0.24445,                 0.4292,                0.97364,                0.90972,                0.93745,                0.96254,                0.88151,                0.84213,                0.86841,                0.85909,                0.29817,                0.46217,                 3.5789,                0.27588,                0.42895,                0.87596,              0.0010496,              0.0010496,              0.0010496
                     74,                0.51754,                 2.6949,                0.25187,                0.42197,                 0.9598,                0.94935,                 0.9186,                0.96968,                0.89497,                0.87624,                0.84884,                0.86646,                0.30147,                0.43181,                 3.5165,                 0.2232,                 0.3934,                0.84457,              0.0010364,              0.0010364,              0.0010364
                     75,                0.53774,                  2.613,                0.23678,                0.43273,                0.96593,                0.92353,                0.93023,                0.96863,                0.89192,                0.87169,                0.86896,                0.87319,                0.29491,                0.45703,                  3.573,                0.36897,                0.40011,                0.90814,              0.0010232,              0.0010232,              0.0010232
                     76,                0.53355,                 2.6164,                0.23207,                0.43589,                0.98046,                0.87332,                0.96196,                0.96057,                0.88654,                0.79949,                0.88096,                0.86208,                 0.2993,                0.43895,                 3.5254,                0.27863,                0.40654,                0.87111,                0.00101,                0.00101,                0.00101
                     77,                0.53282,                 2.6651,                0.23145,                0.43659,                 0.9749,                0.86053,                0.93273,                0.96095,                0.87274,                0.78511,                0.84966,                0.84414,                0.29991,                0.48351,                 3.5567,                0.40637,                0.42848,                 0.8627,              0.0009968,              0.0009968,              0.0009968
                     78,                0.56431,                 2.7119,                0.23559,                0.43179,                0.97695,                0.87621,                0.98769,                0.96997,                0.88205,                0.74165,                0.83454,                0.73408,                0.23539,                0.49017,                 3.7256,                0.30612,                 0.4177,                0.84865,              0.0009836,              0.0009836,              0.0009836
                     79,                0.54425,                 2.8049,                0.23746,                 0.4334,                0.96884,                0.92886,                0.91094,                 0.9722,                 0.8743,                0.86328,                 0.7907,                0.84263,                0.27993,                0.48949,                 3.6122,                0.28906,                0.40046,                0.86449,              0.0009704,              0.0009704,              0.0009704
